Comparison,Covariate,Covariate Type,Treatment Value/Proportion,Control Value/Proportion,SMD,Absolute SMD,Heuristic Assessment
Mens E-Mail vs No E-Mail,history_segment: 2) $100 - $200,categorical level,0.22016238794762286,0.22697831596733314,-0.016359927097071392,0.016359927097071392,Below 0.10 heuristic
Mens E-Mail vs No E-Mail,"history_segment: 7) $1,000 +",categorical level,0.021776880837283522,0.019525016427297474,0.015834964430086848,0.015834964430086848,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,history_segment: 2) $100 - $200,categorical level,0.22102211623883666,0.22697831596733314,-0.014286482498573621,0.014286482498573621,Below 0.10 heuristic
Mens E-Mail vs No E-Mail,zip_code: Rural,categorical level,0.1522035011967898,0.14732939078193935,0.013659320946457812,0.013659320946457812,Below 0.10 heuristic
Mens E-Mail vs No E-Mail,zip_code: Surburban,categorical level,0.44590979490308347,0.4517506805594668,-0.01174363231732483,0.01174363231732483,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,history_segment: 3) $200 - $350,categorical level,0.19427689718053023,0.18980568853843988,0.011351154565446223,0.011351154565446223,Below 0.10 heuristic
Mens E-Mail vs No E-Mail,channel: Web,categorical level,0.4453935326418548,0.4399230263775462,0.011013846819585203,0.011013846819585203,Below 0.10 heuristic
Mens E-Mail vs No E-Mail,history_segment: 1) $0 - $100,categorical level,0.36250997324822826,0.3572702525110298,0.010916976746243505,0.010916976746243505,Below 0.10 heuristic
Mens E-Mail vs No E-Mail,history_segment: 5) $500 - $750,categorical level,0.07495189374384005,0.0775368440814794,-0.009740357963757846,0.009740357963757846,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,"history_segment: 6) $750 - $1,000",categorical level,0.027727123953803712,0.029193654369661128,-0.008819513394649732,0.008819513394649732,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,history_segment: 4) $350 - $500,categorical level,0.10230513863561977,0.09969022810475922,0.00867810320638658,0.00867810320638658,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,mens,binary,0.548931593958947,0.5532244438186427,-0.008630933368316905,0.008630933368316905,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,channel: Phone,categorical level,0.4420442324776733,0.4377640101379893,0.00862303526167356,0.00862303526167356,Below 0.10 heuristic
Mens E-Mail vs No E-Mail,channel: Phone,categorical level,0.43366029943211154,0.4377640101379893,-0.008276186526812186,0.008276186526812186,Below 0.10 heuristic
Mens E-Mail vs No E-Mail,history,continuous,242.83593091472284,240.8826532432179,0.00761286832154239,0.00761286832154239,Below 0.10 heuristic
Mens E-Mail vs No E-Mail,womens,binary,0.551415027925095,0.5476391626771802,0.007589107787702396,0.007589107787702396,Below 0.10 heuristic
Mens E-Mail vs No E-Mail,recency,continuous,5.773642464917633,5.749694921618324,0.006831532454259954,0.006831532454259954,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,history,continuous,242.53663346892975,240.8826532432179,0.006510722458553667,0.006510722458553667,Below 0.10 heuristic
