Outcome,Baseline (%),Target Absolute Effect (pp),Target Relative Lift (%),Power,Alpha,Required Sample Size Per Group
Conversion,0.5726086548390125,0.1,17.463934426229507,0.8,0.05,96971
Conversion,0.5726086548390125,0.1,17.463934426229507,0.9,0.05,129816
Conversion,0.5726086548390125,0.2,34.927868852459014,0.8,0.05,26073
Conversion,0.5726086548390125,0.2,34.927868852459014,0.9,0.05,34905
Conversion,0.5726086548390125,0.3,52.39180327868852,0.8,0.05,12377
Conversion,0.5726086548390125,0.3,52.39180327868852,0.9,0.05,16569
Conversion,0.5726086548390125,0.5,87.31967213114754,0.8,0.05,5002
Conversion,0.5726086548390125,0.5,87.31967213114754,0.9,0.05,6697
Conversion,0.5726086548390125,0.75,130.9795081967213,0.8,0.05,2513
Conversion,0.5726086548390125,0.75,130.9795081967213,0.9,0.05,3364
Conversion,0.5726086548390125,1.0,174.63934426229508,0.8,0.05,1570
Conversion,0.5726086548390125,1.0,174.63934426229508,0.9,0.05,2102
Visit,10.616727682343003,0.5,4.709549071618037,0.8,0.05,60811
Visit,10.616727682343003,0.5,4.709549071618037,0.9,0.05,81409
Visit,10.616727682343003,1.0,9.419098143236074,0.8,0.05,15503
Visit,10.616727682343003,1.0,9.419098143236074,0.9,0.05,20755
Visit,10.616727682343003,2.0,18.838196286472147,0.8,0.05,4022
Visit,10.616727682343003,2.0,18.838196286472147,0.9,0.05,5385
Visit,10.616727682343003,3.0,28.257294429708217,0.8,0.05,1851
Visit,10.616727682343003,3.0,28.257294429708217,0.9,0.05,2478
Visit,10.616727682343003,5.0,47.09549071618037,0.8,0.05,710
Visit,10.616727682343003,5.0,47.09549071618037,0.9,0.05,950
