Segment Variable,Segment Level,Treatment,Control,Outcome,Treatment N,Control N,Treatment Metric,Control Metric,Absolute Effect,Relative Lift,CI Lower,CI Upper,Sparse Event Flag,Small Arm Flag,Inference Method
channel,Multichannel,Mens E-Mail,No E-Mail,Spend,2577,2606,1.824870003880481,0.6157405986185724,1.2091294052619086,1.9636993369847904,0.4578042554851628,2.021407797064533,Not applicable,False,"1,000-resample percentile bootstrap CI"
channel,Multichannel,Mens E-Mail,No E-Mail,Conversion,2577,2606,0.017074117190531625,0.006907137375287797,0.010166979815243827,1.4719527443625229,0.004240034223032075,0.016093925407455578,False,False,Wald CI for proportion difference
channel,Multichannel,Mens E-Mail,No E-Mail,Visit,2577,2606,0.21148622429181219,0.12854950115118957,0.08293672314062261,0.6451734343416792,0.06259667976719277,0.10327676651405246,False,False,Wald CI for proportion difference
channel,Multichannel,Womens E-Mail,No E-Mail,Spend,2579,2606,1.7732764637456377,0.6157405986185724,1.1575358651270653,1.8799083050947467,0.3326980967430723,2.1249802952339234,Not applicable,False,"1,000-resample percentile bootstrap CI"
channel,Multichannel,Womens E-Mail,No E-Mail,Conversion,2579,2606,0.013958898797983715,0.006907137375287797,0.0070517614226959175,1.0209383481969756,0.0015188492180865532,0.012584673627305282,False,False,Wald CI for proportion difference
channel,Multichannel,Womens E-Mail,No E-Mail,Visit,2579,2606,0.17564947654129506,0.12854950115118957,0.04709997539010549,0.3663956294525818,0.027585614528535394,0.0666143362516756,False,False,Wald CI for proportion difference
channel,Phone,Mens E-Mail,No E-Mail,Spend,9240,9327,1.2085270562770565,0.6444526643079231,0.5640743919691333,0.8752766854876642,0.18269512687644737,1.0007448407447863,Not applicable,False,"1,000-resample percentile bootstrap CI"
channel,Phone,Mens E-Mail,No E-Mail,Conversion,9240,9327,0.010822510822510822,0.005360780529645117,0.005461730292865705,1.0188311688311686,0.0028835993372345065,0.008039861248496904,False,False,Wald CI for proportion difference
channel,Phone,Mens E-Mail,No E-Mail,Visit,9240,9327,0.16277056277056276,0.0871662914120296,0.07560427135853316,0.8673567514895926,0.06614767667153112,0.0850608660455352,False,False,Wald CI for proportion difference
channel,Phone,Womens E-Mail,No E-Mail,Spend,9454,9327,0.8769261688174319,0.6444526643079231,0.23247350450950877,0.3607301472780189,-0.12966598103792018,0.6025114747410839,Not applicable,False,"1,000-resample percentile bootstrap CI"
channel,Phone,Womens E-Mail,No E-Mail,Conversion,9454,9327,0.00708694732388407,0.005360780529645117,0.0017261667942389536,0.3219991537973344,-0.0005222372795984512,0.003974570868076358,False,False,Wald CI for proportion difference
channel,Phone,Womens E-Mail,No E-Mail,Visit,9454,9327,0.13179606515760525,0.0871662914120296,0.044629773745575654,0.5120072567342978,0.035726616969326275,0.053532930521825034,False,False,Wald CI for proportion difference
channel,Web,Mens E-Mail,No E-Mail,Spend,9490,9373,1.5218345626975762,0.6713858956577403,0.8504486670398359,1.2667061857274677,0.4117307601694755,1.3109502632159702,Not applicable,False,"1,000-resample percentile bootstrap CI"
